=== Training Log ===
================================================================
🚀 KLA HACKATHON: High-Performance GPU Training & Submission
⚡ Device: cuda (NVIDIA GeForce RTX 4060 Laptop GPU)
⚡ TF32 Tensor Cores: Enabled | PyTorch: 2.6.0+cu124
================================================================
Found 3200 training pairs, 400 test images.
Preloading contiguous tensor arrays into RAM...
✅ Tensors loaded: Train LR torch.Size([2880, 1, 128, 128]), HR torch.Size([2880, 1, 256, 256])
✅ Validation: 320 pairs
✅ Model: NAFNetSR (23.70M parameters)
Loading transferred checkpoint: C:\Users\shash\.gemini\antigravity-ide\scratch\kla_hackathon\kla_best_model.pth...
✅ Successfully resumed from Epoch 25 | Baseline Best PSNR: 27.82 dB

🚀 Training on RTX 4060: Epochs 25 -> 300 | Effective Batch: 16 | Charbonnier Loss

Epoch [ 73/300] (78.1s) | Loss: 0.03314 | Val PSNR: 28.18 dB | LR: 9.53e-04 
Epoch [ 74/300] (78.2s) | Loss: 0.03141 | Val PSNR: 28.19 dB | LR: 9.50e-04 
Epoch [ 75/300] (78.3s) | Loss: 0.03353 | Val PSNR: 28.19 dB | LR: 9.48e-04 
Epoch [ 76/300] (78.0s) | Loss: 0.03137 | Val PSNR: 28.20 dB | LR: 9.45e-04 🔥 [NEW BEST!]
Epoch [ 77/300] (78.2s) | Loss: 0.03075 | Val PSNR: 28.21 dB | LR: 9.42e-04 🔥 [NEW BEST!]
Epoch [ 78/300] (78.3s) | Loss: 0.03059 | Val PSNR: 28.23 dB | LR: 9.39e-04 🔥 [NEW BEST!]
Epoch [ 79/300] (78.1s) | Loss: 0.03108 | Val PSNR: 28.24 dB | LR: 9.36e-04 🔥 [NEW BEST!]
Epoch [ 80/300] (78.4s) | Loss: 0.03449 | Val PSNR: 28.24 dB | LR: 9.34e-04 
Epoch [ 81/300] (78.7s) | Loss: 0.03094 | Val PSNR: 28.25 dB | LR: 9.31e-04 🔥 [NEW BEST!]
Epoch [ 82/300] (78.4s) | Loss: 0.03093 | Val PSNR: 28.26 dB | LR: 9.28e-04 🔥 [NEW BEST!]
Epoch [ 83/300] (78.5s) | Loss: 0.03126 | Val PSNR: 28.26 dB | LR: 9.24e-04 🔥 [NEW BEST!]
Epoch [ 84/300] (78.8s) | Loss: 0.03370 | Val PSNR: 28.26 dB | LR: 9.21e-04 
Epoch [ 85/300] (79.0s) | Loss: 0.03148 | Val PSNR: 28.26 dB | LR: 9.18e-04 
Epoch [ 86/300] (87.7s) | Loss: 0.03214 | Val PSNR: 28.27 dB | LR: 9.15e-04 🔥 [NEW BEST!]
Epoch [ 87/300] (80.8s) | Loss: 0.03494 | Val PSNR: 28.25 dB | LR: 9.11e-04 
Epoch [ 88/300] (112.6s) | Loss: 0.03106 | Val PSNR: 28.26 dB | LR: 9.08e-04 
Epoch [ 89/300] (82.8s) | Loss: 0.03054 | Val PSNR: 28.28 dB | LR: 9.05e-04 🔥 [NEW BEST!]
Epoch [ 90/300] (79.1s) | Loss: 0.03395 | Val PSNR: 28.26 dB | LR: 9.01e-04 
Epoch [ 91/300] (78.4s) | Loss: 0.03062 | Val PSNR: 28.27 dB | LR: 8.98e-04 
Epoch [ 92/300] (78.2s) | Loss: 0.03065 | Val PSNR: 28.28 dB | LR: 8.94e-04 🔥 [NEW BEST!]
Epoch [ 93/300] (78.6s) | Loss: 0.03076 | Val PSNR: 28.29 dB | LR: 8.90e-04 🔥 [NEW BEST!]
Epoch [ 94/300] (78.5s) | Loss: 0.03035 | Val PSNR: 28.31 dB | LR: 8.87e-04 🔥 [NEW BEST!]
Epoch [ 95/300] (78.4s) | Loss: 0.03453 | Val PSNR: 28.32 dB | LR: 8.83e-04 🔥 [NEW BEST!]
Epoch [ 96/300] (78.4s) | Loss: 0.03372 | Val PSNR: 28.31 dB | LR: 8.79e-04 
Epoch [ 97/300] (78.6s) | Loss: 0.03240 | Val PSNR: 28.29 dB | LR: 8.75e-04 
Epoch [ 98/300] (79.9s) | Loss: 0.03038 | Val PSNR: 28.30 dB | LR: 8.71e-04 
Epoch [ 99/300] (79.4s) | Loss: 0.03020 | Val PSNR: 28.32 dB | LR: 8.67e-04 🔥 [NEW BEST!]
Epoch [100/300] (78.8s) | Loss: 0.03099 | Val PSNR: 28.34 dB | LR: 8.63e-04 🔥 [NEW BEST!]
Epoch [101/300] (78.5s) | Loss: 0.03025 | Val PSNR: 28.34 dB | LR: 8.59e-04 🔥 [NEW BEST!]
Epoch [102/300] (79.6s) | Loss: 0.03059 | Val PSNR: 28.35 dB | LR: 8.55e-04 🔥 [NEW BEST!]
Epoch [103/300] (78.3s) | Loss: 0.03044 | Val PSNR: 28.36 dB | LR: 8.51e-04 🔥 [NEW BEST!]
Epoch [104/300] (78.0s) | Loss: 0.02992 | Val PSNR: 28.38 dB | LR: 8.46e-04 🔥 [NEW BEST!]
Epoch [105/300] (78.1s) | Loss: 0.02997 | Val PSNR: 28.39 dB | LR: 8.42e-04 🔥 [NEW BEST!]
Epoch [106/300] (78.3s) | Loss: 0.03182 | Val PSNR: 28.40 dB | LR: 8.38e-04 🔥 [NEW BEST!]
Epoch [107/300] (77.9s) | Loss: 0.03228 | Val PSNR: 28.37 dB | LR: 8.33e-04 
Epoch [108/300] (78.0s) | Loss: 0.03036 | Val PSNR: 28.37 dB | LR: 8.29e-04 
Epoch [109/300] (78.1s) | Loss: 0.03010 | Val PSNR: 28.39 dB | LR: 8.24e-04 
Epoch [110/300] (78.1s) | Loss: 0.03133 | Val PSNR: 28.40 dB | LR: 8.20e-04 🔥 [NEW BEST!]
Epoch [111/300] (78.1s) | Loss: 0.03133 | Val PSNR: 28.40 dB | LR: 8.15e-04 
Epoch [112/300] (78.2s) | Loss: 0.03423 | Val PSNR: 28.40 dB | LR: 8.11e-04 
Epoch [113/300] (78.2s) | Loss: 0.03369 | Val PSNR: 28.18 dB | LR: 8.06e-04 
Epoch [114/300] (78.2s) | Loss: 0.03036 | Val PSNR: 28.29 dB | LR: 8.01e-04 
Epoch [115/300] (77.9s) | Loss: 0.03119 | Val PSNR: 28.37 dB | LR: 7.96e-04 
Epoch [116/300] (78.4s) | Loss: 0.03065 | Val PSNR: 28.39 dB | LR: 7.92e-04 
Epoch [117/300] (78.3s) | Loss: 0.03106 | Val PSNR: 28.41 dB | LR: 7.87e-04 🔥 [NEW BEST!]
Epoch [118/300] (78.5s) | Loss: 0.03754 | Val PSNR: 28.38 dB | LR: 7.82e-04 
Epoch [119/300] (78.1s) | Loss: 0.03030 | Val PSNR: 28.38 dB | LR: 7.77e-04 
Epoch [120/300] (78.9s) | Loss: 0.03009 | Val PSNR: 28.40 dB | LR: 7.72e-04 
